trial_id,subject_id,trial_type,base_code,base_description,canonical_name_shotokan,stylistic_name_executed,trial_number,sex,age_years,height_cm,mass_kg,bmi,practice_years,grade,karate_style,competition_modality,competition_level,training_days_per_week,training_hours_per_week,upper_dominant,lower_dominant,dominant_guard
ID003_ZEN_T1,ID003,dynamic,ZEN,anteriorised,zenkutsu-dachi,zenkutsu-dachi,1,M,22,158.5,69.2,27.7,17,3 Dan,Goju-Ryu,Kata,International,1,1,Right,Right,Left
ID003_ZEN_T2,ID003,dynamic,ZEN,anteriorised,zenkutsu-dachi,zenkutsu-dachi,2,M,22,158.5,69.2,27.7,17,3 Dan,Goju-Ryu,Kata,International,1,1,Right,Right,Left
ID003_ZEN_T3,ID003,dynamic,ZEN,anteriorised,zenkutsu-dachi,zenkutsu-dachi,3,M,22,158.5,69.2,27.7,17,3 Dan,Goju-Ryu,Kata,International,1,1,Right,Right,Left
ID003_ZEN_T4,ID003,dynamic,ZEN,anteriorised,zenkutsu-dachi,zenkutsu-dachi,4,M,22,158.5,69.2,27.7,17,3 Dan,Goju-Ryu,Kata,International,1,1,Right,Right,Left
ID003_ZEN_T5,ID003,dynamic,ZEN,anteriorised,zenkutsu-dachi,zenkutsu-dachi,5,M,22,158.5,69.2,27.7,17,3 Dan,Goju-Ryu,Kata,International,1,1,Right,Right,Left
ID003_KOK_T1,ID003,dynamic,KOK,posteriorised,kokutsu-dachi,neko-ashi-dachi,1,M,22,158.5,69.2,27.7,17,3 Dan,Goju-Ryu,Kata,International,1,1,Right,Right,Left
ID003_KOK_T2,ID003,dynamic,KOK,posteriorised,kokutsu-dachi,neko-ashi-dachi,2,M,22,158.5,69.2,27.7,17,3 Dan,Goju-Ryu,Kata,International,1,1,Right,Right,Left
ID003_KOK_T3,ID003,dynamic,KOK,posteriorised,kokutsu-dachi,neko-ashi-dachi,3,M,22,158.5,69.2,27.7,17,3 Dan,Goju-Ryu,Kata,International,1,1,Right,Right,Left
ID003_KOK_T4,ID003,dynamic,KOK,posteriorised,kokutsu-dachi,neko-ashi-dachi,4,M,22,158.5,69.2,27.7,17,3 Dan,Goju-Ryu,Kata,International,1,1,Right,Right,Left
ID003_KOK_T5,ID003,dynamic,KOK,posteriorised,kokutsu-dachi,neko-ashi-dachi,5,M,22,158.5,69.2,27.7,17,3 Dan,Goju-Ryu,Kata,International,1,1,Right,Right,Left
ID003_KIB_T1,ID003,dynamic,KIB,lateralised,kiba-dachi,shiko-dachi,1,M,22,158.5,69.2,27.7,17,3 Dan,Goju-Ryu,Kata,International,1,1,Right,Right,Left
ID003_KIB_T2,ID003,dynamic,KIB,lateralised,kiba-dachi,shiko-dachi,2,M,22,158.5,69.2,27.7,17,3 Dan,Goju-Ryu,Kata,International,1,1,Right,Right,Left
ID003_KIB_T3,ID003,dynamic,KIB,lateralised,kiba-dachi,shiko-dachi,3,M,22,158.5,69.2,27.7,17,3 Dan,Goju-Ryu,Kata,International,1,1,Right,Right,Left
ID003_KIB_T4,ID003,dynamic,KIB,lateralised,kiba-dachi,shiko-dachi,4,M,22,158.5,69.2,27.7,17,3 Dan,Goju-Ryu,Kata,International,1,1,Right,Right,Left
ID003_KIB_T5,ID003,dynamic,KIB,lateralised,kiba-dachi,shiko-dachi,5,M,22,158.5,69.2,27.7,17,3 Dan,Goju-Ryu,Kata,International,1,1,Right,Right,Left
ID003_STATIC_T1,ID003,static_reference,STATIC,anatomical reference,static anatomical,static anatomical,1,M,22,158.5,69.2,27.7,17,3 Dan,Goju-Ryu,Kata,International,1,1,Right,Right,Left
