column,description,dtype
subject,Participant code (ID003-ID014).,str
base,"Postural base mechanic category: ZEN (anteriorised), KOK (posteriorised), KIB (lateralised).",str
trial,Repetition index 1..5 within each base block.,int64
filtered,True if Theia-filtered (pose_filt_0.c3d) variant was used.,bool
rate_hz,"Kinematic sampling rate, Hz.",float64
n_frames,Number of frames in the trial (1620 = 9.00 s at 180 Hz).,int64
duration_s,Trial duration in seconds.,float64
sex,Participant sex (M/F) used for gender-specific COM inertia.,str
age_years,Age in years at acquisition.,int64
height_cm,Stature in centimetres.,float64
mass_kg,Body mass in kilograms.,float64
bmi_kg_m2,Body mass index.,float64
practice_years,Self-reported karate practice in years.,int64
grade,Karate grade (kyu/dan or 'Branca' for white belt).,str
style,Karate style lineage (Shotokan / Goju-Ryu / Wado-Ryu).,str
modality,Primary competitive modality (Kata / Kumite / None).,str
level,Competitive level (International / National / Regional / None).,str
weekly_days,Self-reported training days per week.,int64
weekly_hours,Self-reported training hours per week.,int64
upper_dominant,Upper-limb dominance.,str
lower_dominant,Lower-limb dominance.,str
dominant_guard,Self-reported dominant fighting guard (left/right).,str
pre_com_x_mean_m,Pre-strike (1-3 s) whole-body COM descriptor. x mean m,float64
pre_com_y_mean_m,Pre-strike (1-3 s) whole-body COM descriptor. y mean m,float64
pre_com_z_mean_m,Pre-strike (1-3 s) whole-body COM descriptor. z mean m,float64
pre_com_ml_range_cm,Pre-strike (1-3 s) whole-body COM descriptor. ml range cm,float64
pre_com_ap_range_cm,Pre-strike (1-3 s) whole-body COM descriptor. ap range cm,float64
pre_com_z_range_cm,Pre-strike (1-3 s) whole-body COM descriptor. z range cm,float64
pre_com_ml_rms_cm,Pre-strike (1-3 s) whole-body COM descriptor. ml rms cm,float64
pre_com_ap_rms_cm,Pre-strike (1-3 s) whole-body COM descriptor. ap rms cm,float64
pre_com_path_length_cm,Pre-strike (1-3 s) whole-body COM descriptor. path length cm,float64
post_com_x_mean_m,Post-strike (6-9 s) whole-body COM descriptor. x mean m,float64
post_com_y_mean_m,Post-strike (6-9 s) whole-body COM descriptor. y mean m,float64
post_com_z_mean_m,Post-strike (6-9 s) whole-body COM descriptor. z mean m,float64
post_com_ml_range_cm,Post-strike (6-9 s) whole-body COM descriptor. ml range cm,float64
post_com_ap_range_cm,Post-strike (6-9 s) whole-body COM descriptor. ap range cm,float64
post_com_z_range_cm,Post-strike (6-9 s) whole-body COM descriptor. z range cm,float64
post_com_ml_rms_cm,Post-strike (6-9 s) whole-body COM descriptor. ml rms cm,float64
post_com_ap_rms_cm,Post-strike (6-9 s) whole-body COM descriptor. ap rms cm,float64
post_com_path_length_cm,Post-strike (6-9 s) whole-body COM descriptor. path length cm,float64
pre_hip_right_flx_mean_deg,Pre-strike hip joint angle descriptor (deg). mean of right flx axis,float64
pre_hip_right_flx_rom_deg,Pre-strike hip joint angle descriptor (deg). range of motion of right flx axis,float64
pre_hip_right_abd_mean_deg,Pre-strike hip joint angle descriptor (deg). mean of right abd axis,float64
pre_hip_right_abd_rom_deg,Pre-strike hip joint angle descriptor (deg). range of motion of right abd axis,float64
pre_hip_right_rot_mean_deg,Pre-strike hip joint angle descriptor (deg). mean of right rot axis,float64
pre_hip_right_rot_rom_deg,Pre-strike hip joint angle descriptor (deg). range of motion of right rot axis,float64
pre_hip_left_flx_mean_deg,Pre-strike hip joint angle descriptor (deg). mean of left flx axis,float64
pre_hip_left_flx_rom_deg,Pre-strike hip joint angle descriptor (deg). range of motion of left flx axis,float64
pre_hip_left_abd_mean_deg,Pre-strike hip joint angle descriptor (deg). mean of left abd axis,float64
pre_hip_left_abd_rom_deg,Pre-strike hip joint angle descriptor (deg). range of motion of left abd axis,float64
pre_hip_left_rot_mean_deg,Pre-strike hip joint angle descriptor (deg). mean of left rot axis,float64
pre_hip_left_rot_rom_deg,Pre-strike hip joint angle descriptor (deg). range of motion of left rot axis,float64
pre_knee_right_flx_mean_deg,Pre-strike knee joint angle descriptor (deg). mean of right flx axis,float64
pre_knee_right_flx_rom_deg,Pre-strike knee joint angle descriptor (deg). range of motion of right flx axis,float64
