subject,base,trial,sex,style,modality,level,age_years,height_cm,mass_kg,bmi_kg_m2,practice_years,grade,dominant_guard,metric,value,window,family,joint,axis,stat,unit
ID003,ZEN,1,M,Goju-Ryu,Kata,International,22,158.5,69.2,27.7,17,3 Dan,Left,pre_com_x_mean_m,0.4373879963200549,pre_strike,com,,,,m
ID003,ZEN,2,M,Goju-Ryu,Kata,International,22,158.5,69.2,27.7,17,3 Dan,Left,pre_com_x_mean_m,0.4022552473706794,pre_strike,com,,,,m
ID003,ZEN,3,M,Goju-Ryu,Kata,International,22,158.5,69.2,27.7,17,3 Dan,Left,pre_com_x_mean_m,0.3983051506343393,pre_strike,com,,,,m
ID003,ZEN,4,M,Goju-Ryu,Kata,International,22,158.5,69.2,27.7,17,3 Dan,Left,pre_com_x_mean_m,0.4187747958188917,pre_strike,com,,,,m
ID003,ZEN,5,M,Goju-Ryu,Kata,International,22,158.5,69.2,27.7,17,3 Dan,Left,pre_com_x_mean_m,0.3833936683418806,pre_strike,com,,,,m
ID003,KOK,1,M,Goju-Ryu,Kata,International,22,158.5,69.2,27.7,17,3 Dan,Left,pre_com_x_mean_m,0.4212275614257488,pre_strike,com,,,,m
ID003,KOK,2,M,Goju-Ryu,Kata,International,22,158.5,69.2,27.7,17,3 Dan,Left,pre_com_x_mean_m,0.4026058790166502,pre_strike,com,,,,m
ID003,KOK,3,M,Goju-Ryu,Kata,International,22,158.5,69.2,27.7,17,3 Dan,Left,pre_com_x_mean_m,0.3922612308074041,pre_strike,com,,,,m
ID003,KOK,4,M,Goju-Ryu,Kata,International,22,158.5,69.2,27.7,17,3 Dan,Left,pre_com_x_mean_m,0.3974724938163773,pre_strike,com,,,,m
ID003,KOK,5,M,Goju-Ryu,Kata,International,22,158.5,69.2,27.7,17,3 Dan,Left,pre_com_x_mean_m,0.4165137029147644,pre_strike,com,,,,m
ID003,KIB,1,M,Goju-Ryu,Kata,International,22,158.5,69.2,27.7,17,3 Dan,Left,pre_com_x_mean_m,0.4108159116293201,pre_strike,com,,,,m
