subject,base,trial,plate,corner,x_mm,y_mm,z_mm
ID003,KIB,1,3,POSX_POSY,881.586969,582.143962,-22.814199
ID003,KIB,1,3,NEGX_POSY,883.545995,-8.73839,-24.3426
ID003,KIB,1,3,NEGX_NEGY,-10.6161,-9.97326,-25.508199
ID003,KIB,1,3,POSX_NEGY,-10.849399,583.590031,-24.071699
ID003,KIB,1,4,POSX_POSY,880.412996,1186.469913,-14.4678
ID003,KIB,1,4,NEGX_POSY,881.900012,592.586994,-22.5321
ID003,KIB,1,4,NEGX_NEGY,-10.309,592.67199,-24.0048
ID003,KIB,1,4,POSX_NEGY,-12.5899,1183.939934,-15.4844
ID003,KIB,2,3,POSX_POSY,881.586969,582.143962,-22.814199
ID003,KIB,2,3,NEGX_POSY,883.545995,-8.73839,-24.3426
ID003,KIB,2,3,NEGX_NEGY,-10.6161,-9.97326,-25.508199
ID003,KIB,2,3,POSX_NEGY,-10.849399,583.590031,-24.071699
ID003,KIB,2,4,POSX_POSY,880.412996,1186.469913,-14.4678
ID003,KIB,2,4,NEGX_POSY,881.900012,592.586994,-22.5321
ID003,KIB,2,4,NEGX_NEGY,-10.309,592.67199,-24.0048
ID003,KIB,2,4,POSX_NEGY,-12.5899,1183.939934,-15.4844
ID003,KIB,3,3,POSX_POSY,881.586969,582.143962,-22.814199
ID003,KIB,3,3,NEGX_POSY,883.545995,-8.73839,-24.3426
ID003,KIB,3,3,NEGX_NEGY,-10.6161,-9.97326,-25.508199
ID003,KIB,3,3,POSX_NEGY,-10.849399,583.590031,-24.071699
ID003,KIB,3,4,POSX_POSY,880.412996,1186.469913,-14.4678
ID003,KIB,3,4,NEGX_POSY,881.900012,592.586994,-22.5321
ID003,KIB,3,4,NEGX_NEGY,-10.309,592.67199,-24.0048
ID003,KIB,3,4,POSX_NEGY,-12.5899,1183.939934,-15.4844
ID003,KIB,4,3,POSX_POSY,881.586969,582.143962,-22.814199
ID003,KIB,4,3,NEGX_POSY,883.545995,-8.73839,-24.3426
ID003,KIB,4,3,NEGX_NEGY,-10.6161,-9.97326,-25.508199
ID003,KIB,4,3,POSX_NEGY,-10.849399,583.590031,-24.071699
ID003,KIB,4,4,POSX_POSY,880.412996,1186.469913,-14.4678
ID003,KIB,4,4,NEGX_POSY,881.900012,592.586994,-22.5321
ID003,KIB,4,4,NEGX_NEGY,-10.309,592.67199,-24.0048
ID003,KIB,4,4,POSX_NEGY,-12.5899,1183.939934,-15.4844
ID003,KIB,5,3,POSX_POSY,881.586969,582.143962,-22.814199
ID003,KIB,5,3,NEGX_POSY,883.545995,-8.73839,-24.3426
ID003,KIB,5,3,NEGX_NEGY,-10.6161,-9.97326,-25.508199
ID003,KIB,5,3,POSX_NEGY,-10.849399,583.590031,-24.071699
ID003,KIB,5,4,POSX_POSY,880.412996,1186.469913,-14.4678
ID003,KIB,5,4,NEGX_POSY,881.900012,592.586994,-22.5321
ID003,KIB,5,4,NEGX_NEGY,-10.309,592.67199,-24.0048
ID003,KIB,5,4,POSX_NEGY,-12.5899,1183.939934,-15.4844
ID003,KOK,1,3,POSX_POSY,881.586969,582.143962,-22.814199
ID003,KOK,1,3,NEGX_POSY,883.545995,-8.73839,-24.3426
ID003,KOK,1,3,NEGX_NEGY,-10.6161,-9.97326,-25.508199
ID003,KOK,1,3,POSX_NEGY,-10.849399,583.590031,-24.071699
ID003,KOK,1,4,POSX_POSY,880.412996,1186.469913,-14.4678
ID003,KOK,1,4,NEGX_POSY,881.900012,592.586994,-22.5321
ID003,KOK,1,4,NEGX_NEGY,-10.309,592.67199,-24.0048
ID003,KOK,1,4,POSX_NEGY,-12.5899,1183.939934,-15.4844
ID003,KOK,2,3,POSX_POSY,881.586969,582.143962,-22.814199
ID003,KOK,2,3,NEGX_POSY,883.545995,-8.73839,-24.3426
ID003,KOK,2,3,NEGX_NEGY,-10.6161,-9.97326,-25.508199
ID003,KOK,2,3,POSX_NEGY,-10.849399,583.590031,-24.071699
ID003,KOK,2,4,POSX_POSY,880.412996,1186.469913,-14.4678
ID003,KOK,2,4,NEGX_POSY,881.900012,592.586994,-22.5321
ID003,KOK,2,4,NEGX_NEGY,-10.309,592.67199,-24.0048
ID003,KOK,2,4,POSX_NEGY,-12.5899,1183.939934,-15.4844
ID003,KOK,3,4,POSX_POSY,880.412996,1186.469913,-14.4678
ID003,KOK,3,4,NEGX_POSY,881.900012,592.586994,-22.5321
ID003,KOK,3,4,NEGX_NEGY,-10.309,592.67199,-24.0048
ID003,KOK,3,4,POSX_NEGY,-12.5899,1183.939934,-15.4844
ID003,KOK,4,3,POSX_POSY,881.586969,582.143962,-22.814199
ID003,KOK,4,3,NEGX_POSY,883.545995,-8.73839,-24.3426
ID003,KOK,4,3,NEGX_NEGY,-10.6161,-9.97326,-25.508199
ID003,KOK,4,3,POSX_NEGY,-10.849399,583.590031,-24.071699
ID003,KOK,4,4,POSX_POSY,880.412996,1186.469913,-14.4678
ID003,KOK,4,4,NEGX_POSY,881.900012,592.586994,-22.5321
ID003,KOK,4,4,NEGX_NEGY,-10.309,592.67199,-24.0048
ID003,KOK,4,4,POSX_NEGY,-12.5899,1183.939934,-15.4844
ID003,KOK,5,3,POSX_POSY,881.586969,582.143962,-22.814199
ID003,KOK,5,3,NEGX_POSY,883.545995,-8.73839,-24.3426
ID003,KOK,5,3,NEGX_NEGY,-10.6161,-9.97326,-25.508199
ID003,KOK,5,3,POSX_NEGY,-10.849399,583.590031,-24.071699
ID003,KOK,5,4,POSX_POSY,880.412996,1186.469913,-14.4678
ID003,KOK,5,4,NEGX_POSY,881.900012,592.586994,-22.5321
ID003,KOK,5,4,NEGX_NEGY,-10.309,592.67199,-24.0048
ID003,KOK,5,4,POSX_NEGY,-12.5899,1183.939934,-15.4844
ID003,STATIC,1,3,POSX_POSY,881.586969,582.143962,-22.814199
ID003,STATIC,1,3,NEGX_POSY,883.545995,-8.73839,-24.3426
ID003,STATIC,1,3,NEGX_NEGY,-10.6161,-9.97326,-25.508199
ID003,STATIC,1,3,POSX_NEGY,-10.849399,583.590031,-24.071699
ID003,STATIC,1,4,POSX_POSY,880.412996,1186.469913,-14.4678
ID003,STATIC,1,4,NEGX_POSY,881.900012,592.586994,-22.5321
ID003,STATIC,1,4,NEGX_NEGY,-10.309,592.67199,-24.0048
ID003,STATIC,1,4,POSX_NEGY,-12.5899,1183.939934,-15.4844
ID003,ZEN,1,3,POSX_POSY,881.586969,582.143962,-22.814199
ID003,ZEN,1,3,NEGX_POSY,883.545995,-8.73839,-24.3426
ID003,ZEN,1,3,NEGX_NEGY,-10.6161,-9.97326,-25.508199
ID003,ZEN,1,3,POSX_NEGY,-10.849399,583.590031,-24.071699
ID003,ZEN,1,4,POSX_POSY,880.412996,1186.469913,-14.4678
ID003,ZEN,1,4,NEGX_POSY,881.900012,592.586994,-22.5321
ID003,ZEN,1,4,NEGX_NEGY,-10.309,592.67199,-24.0048
ID003,ZEN,1,4,POSX_NEGY,-12.5899,1183.939934,-15.4844
ID003,ZEN,2,3,POSX_POSY,881.586969,582.143962,-22.814199
ID003,ZEN,2,3,NEGX_POSY,883.545995,-8.73839,-24.3426
ID003,ZEN,2,3,NEGX_NEGY,-10.6161,-9.97326,-25.508199
ID003,ZEN,2,3,POSX_NEGY,-10.849399,583.590031,-24.071699
ID003,ZEN,2,4,POSX_POSY,880.412996,1186.469913,-14.4678
ID003,ZEN,2,4,NEGX_POSY,881.900012,592.586994,-22.5321
ID003,ZEN,2,4,NEGX_NEGY,-10.309,592.67199,-24.0048
ID003,ZEN,2,4,POSX_NEGY,-12.5899,1183.939934,-15.4844
ID003,ZEN,3,3,POSX_POSY,881.586969,582.143962,-22.814199
ID003,ZEN,3,3,NEGX_POSY,883.545995,-8.73839,-24.3426
ID003,ZEN,3,3,NEGX_NEGY,-10.6161,-9.97326,-25.508199
ID003,ZEN,3,3,POSX_NEGY,-10.849399,583.590031,-24.071699
ID003,ZEN,3,4,POSX_POSY,880.412996,1186.469913,-14.4678
ID003,ZEN,3,4,NEGX_POSY,881.900012,592.586994,-22.5321
ID003,ZEN,3,4,NEGX_NEGY,-10.309,592.67199,-24.0048
ID003,ZEN,3,4,POSX_NEGY,-12.5899,1183.939934,-15.4844
ID003,ZEN,4,3,POSX_POSY,881.586969,582.143962,-22.814199
ID003,ZEN,4,3,NEGX_POSY,883.545995,-8.73839,-24.3426
ID003,ZEN,4,3,NEGX_NEGY,-10.6161,-9.97326,-25.508199
ID003,ZEN,4,3,POSX_NEGY,-10.849399,583.590031,-24.071699
ID003,ZEN,4,4,POSX_POSY,880.412996,1186.469913,-14.4678
ID003,ZEN,4,4,NEGX_POSY,881.900012,592.586994,-22.5321
ID003,ZEN,4,4,NEGX_NEGY,-10.309,592.67199,-24.0048
ID003,ZEN,4,4,POSX_NEGY,-12.5899,1183.939934,-15.4844
ID003,ZEN,5,3,POSX_POSY,881.586969,582.143962,-22.814199
ID003,ZEN,5,3,NEGX_POSY,883.545995,-8.73839,-24.3426
ID003,ZEN,5,3,NEGX_NEGY,-10.6161,-9.97326,-25.508199
ID003,ZEN,5,3,POSX_NEGY,-10.849399,583.590031,-24.071699
ID003,ZEN,5,4,POSX_POSY,880.412996,1186.469913,-14.4678
ID003,ZEN,5,4,NEGX_POSY,881.900012,592.586994,-22.5321
ID003,ZEN,5,4,NEGX_NEGY,-10.309,592.67199,-24.0048
ID003,ZEN,5,4,POSX_NEGY,-12.5899,1183.939934,-15.4844
ID004,KIB,1,3,POSX_POSY,881.586969,582.143962,-22.814199
ID004,KIB,1,3,NEGX_POSY,883.545995,-8.73839,-24.3426
ID004,KIB,1,3,NEGX_NEGY,-10.6161,-9.97326,-25.508199
ID004,KIB,1,3,POSX_NEGY,-10.849399,583.590031,-24.071699
ID004,KIB,1,4,POSX_POSY,880.412996,1186.469913,-14.4678
ID004,KIB,1,4,NEGX_POSY,881.900012,592.586994,-22.5321
ID004,KIB,1,4,NEGX_NEGY,-10.309,592.67199,-24.0048
ID004,KIB,1,4,POSX_NEGY,-12.5899,1183.939934,-15.4844
ID004,KIB,2,3,POSX_POSY,881.586969,582.143962,-22.814199
ID004,KIB,2,3,NEGX_POSY,883.545995,-8.73839,-24.3426
ID004,KIB,2,3,NEGX_NEGY,-10.6161,-9.97326,-25.508199
ID004,KIB,2,3,POSX_NEGY,-10.849399,583.590031,-24.071699
ID004,KIB,2,4,POSX_POSY,880.412996,1186.469913,-14.4678
ID004,KIB,2,4,NEGX_POSY,881.900012,592.586994,-22.5321
ID004,KIB,2,4,NEGX_NEGY,-10.309,592.67199,-24.0048
ID004,KIB,2,4,POSX_NEGY,-12.5899,1183.939934,-15.4844
ID004,KIB,3,3,POSX_POSY,881.586969,582.143962,-22.814199
ID004,KIB,3,3,NEGX_POSY,883.545995,-8.73839,-24.3426
ID004,KIB,3,3,NEGX_NEGY,-10.6161,-9.97326,-25.508199
ID004,KIB,3,3,POSX_NEGY,-10.849399,583.590031,-24.071699
ID004,KIB,3,4,POSX_POSY,880.412996,1186.469913,-14.4678
ID004,KIB,3,4,NEGX_POSY,881.900012,592.586994,-22.5321
ID004,KIB,3,4,NEGX_NEGY,-10.309,592.67199,-24.0048
ID004,KIB,3,4,POSX_NEGY,-12.5899,1183.939934,-15.4844
ID004,KIB,4,3,POSX_POSY,881.586969,582.143962,-22.814199
ID004,KIB,4,3,NEGX_POSY,883.545995,-8.73839,-24.3426
ID004,KIB,4,3,NEGX_NEGY,-10.6161,-9.97326,-25.508199
ID004,KIB,4,3,POSX_NEGY,-10.849399,583.590031,-24.071699
